date,consumption,generation,temperature,humidity,rain,snow,pressure,wind_speed,wind_direction,clouds,sunrise,sunset,working_day,holiday
2024-11-28T14:28:16Z,173.14,143.822446575548002614,12,52,8,0,1005,7,179,37,1761386400,1761433200,true,true
2025-01-24T15:37:20Z,169.49,139.204053920218850894,26,38,6,0,1000,4,0,79,1761386400,1761433200,false,false
2025-01-18T09:28:44Z,452.95,380.589305507975227825,19,43,0,0,1028,2,20,93,1761386400,1761433200,false,true
2025-08-19T21:17:35Z,285.27,241.367897860947525936,29,54,9,0,1011,8,251,51,1761386400,1761433200,false,false
2025-06-10T07:01:25Z,424.69,454.55216595955207188,12,78,6,0,1002,13,125,70,1761386400,1761433200,true,true
2025-07-29T01:49:18Z,59.91,64.84191617347809012,20,96,10,0,989,9,238,10,1761386400,1761433200,true,true
2025-07-23T05:28:22Z,206.84,216.41920298785249792,5,89,3,0,1030,10,342,20,1761386400,1761433200,true,true
2025-03-05T03:44:58Z,430.39,389.493595863025192078,24,89,9,0,983,14,146,6,1761386400,1761433200,false,false
2025-05-28T02:47:07Z,232.04,205.42380483398255068,27,70,6,0,1014,12,305,25,1761386400,1761433200,false,false
2025-10-23T06:24:00Z,51.4,56.3036087604201798,32,42,0,0,1018,14,331,91,1761386400,1761433200,false,false
2025-05-18T05:47:07Z,165.77,164.379624473453427632,17,59,5,0,1001,1,325,8,1761386400,1761433200,false,true
2024-12-04T11:19:03Z,309.85,325.0611235568048809,28,87,0,0,998,9,53,33,1761386400,1761433200,false,true
2024-11-18T13:28:25Z,50.44,48.830157274362215648,6,67,8,0,1012,6,273,99,1761386400,1761433200,false,true
2025-10-10T05:58:29Z,404.97,337.734823739333081667,27,45,9,0,1003,14,14,30,1761386400,1761433200,false,false
2024-12-28T12:43:45Z,389.65,343.17949387312122806,19,44,0,0,1004,11,82,65,1761386400,1761433200,false,false
2025-01-11T17:43:51Z,215.01,211.564306298175960987,35,100,9,0,1002,5,323,34,1761386400,1761433200,true,false
2025-07-22T21:46:20Z,100.46,101.15450724337768584,20,42,5,0,986,1,251,38,1761386400,1761433200,true,true
2024-11-14T09:07:07Z,497.79,505.36037041609782456,7,95,8,0,1030,12,212,47,1761386400,1761433200,true,true
2025-07-21T02:23:13Z,331.23,353.57978569894500858,30,45,5,0,1029,8,360,72,1761386400,1761433200,true,true
2025-02-28T03:58:43Z,398.89,408.26341986646341179,19,51,2,0,1020,10,147,25,1761386400,1761433200,true,true
2025-06-05T17:24:09Z,386.66,416.31082913850089976,35,82,4,0,1007,1,303,85,1761386400,1761433200,true,true
2025-03-07T21:43:29Z,499.89,447.369114600192526443,15,83,4,0,996,12,105,84,1761386400,1761433200,true,true
2025-04-15T17:12:40Z,244.63,222.031092856192071532,7,35,0,0,981,8,169,50,1761386400,1761433200,false,false
2025-01-02T18:50:36Z,400.42,376.437546261441272334,35,90,5,0,1018,6,17,53,1761386400,1761433200,false,true
2025-07-23T08:28:02Z,177.4,181.3369664568460572,9,95,5,0,988,6,150,98,1761386400,1761433200,false,false
2025-06-28T17:39:24Z,491.91,416.826328136943465969,5,79,7,0,997,4,272,17,1761386400,1761433200,true,true
2024-11-10T14:08:49Z,367.91,297.926492032535426947,27,71,3,0,1001,5,348,73,1761386400,1761433200,false,false
2024-12-20T22:15:22Z,496.07,456.516127970355609461,35,96,3,0,1001,8,321,96,1761386400,1761433200,true,false
2025-05-25T21:17:03Z,433.31,404.711950360873158757,20,24,2,0,1010,9,13,62,1761386400,1761433200,true,true
2025-05-06T20:07:57Z,196.01,159.771712425844529706,25,32,6,0,1007,10,86,98,1761386400,1761433200,true,false
2025-09-21T16:19:18Z,437.16,442.06484910181100712,30,30,0,0,986,7,99,56,1761386400,1761433200,true,false
2025-09-10T21:30:10Z,117.45,112.66062294399392628,24,36,2,0,1014,4,149,69,1761386400,1761433200,false,false
2024-12-06T11:24:15Z,155.08,148.28232430192173944,21,56,8,0,1023,7,160,58,1761386400,1761433200,false,true
2025-08-04T02:57:28Z,471.61,417.16416514177797366,14,24,4,0,990,4,208,75,1761386400,1761433200,true,true
2025-08-21T13:35:26Z,245.59,231.551762444851540857,17,98,8,0,994,12,95,74,1761386400,1761433200,false,false
2025-04-20T13:24:48Z,393.95,370.19234383113784303,21,34,2,0,991,11,352,82,1761386400,1761433200,true,false
2024-11-19T16:33:28Z,123.25,112.194875726503043875,22,71,4,0,1022,15,58,37,1761386400,1761433200,false,true
2024-12-31T10:05:08Z,346.48,356.6502522722614452,19,36,1,0,1013,9,12,39,1761386400,1761433200,false,true
2025-07-05T22:22:42Z,137.99,117.049549341970350777,18,89,4,0,998,1,66,53,1761386400,1761433200,true,false
2024-12-29T16:52:07Z,325.0,335.4252498391769,9,82,0,0,990,9,122,59,1761386400,1761433200,false,false
2024-11-03T01:06:42Z,68.92,60.983305698517863176,9,51,10,0,1004,13,101,43,1761386400,1761433200,false,true
2025-01-17T19:48:59Z,346.02,354.9225302412208308,14,37,0,0,994,5,228,87,1761386400,1761433200,true,false
2025-02-25T07:45:50Z,267.12,249.659754919268090544,25,73,0,0,1002,1,141,46,1761386400,1761433200,false,true
2025-01-26T19:01:03Z,163.97,148.602340584208129253,28,43,2,0,1010,1,143,9,1761386400,1761433200,true,false
2025-05-11T02:20:20Z,227.21,247.70721752288180559,10,37,4,0,1008,4,186,7,1761386400,1761433200,false,true
2025-03-15T16:39:59Z,415.37,350.251463065243784401,32,87,3,0,1002,7,314,30,1761386400,1761433200,false,true
2025-05-29T20:06:47Z,54.48,53.495654668850931696,32,69,5,0,982,1,234,74,1761386400,1761433200,true,true
2024-12-22T20:45:01Z,243.05,244.5636763026483964,28,69,0,0,1014,7,189,67,1761386400,1761433200,false,false
2025-01-23T01:49:04Z,366.3,361.81979081953732368,32,96,7,0,980,13,32,39,1761386400,1761433200,false,false
2025-04-21T13:24:46Z,283.5,305.4239605800194805,13,58,3,0,1000,9,119,76,1761386400,1761433200,false,true
2025-05-20T22:20:44Z,296.02,238.484491193855302992,11,25,5,0,987,5,277,11,1761386400,1761433200,false,false
2025-05-04T08:44:54Z,295.45,246.66406070217667428,18,58,6,0,982,11,305,78,1761386400,1761433200,false,true
2025-08-20T17:06:04Z,185.36,186.70968564460585128,31,36,1,0,1026,15,233,35,1761386400,1761433200,false,false
2025-06-26T08:37:02Z,259.79,228.75287052689038596,12,69,8,0,1005,10,91,82,1761386400,1761433200,false,false
2024-11-11T18:38:53Z,379.46,315.709434962930278228,19,51,7,0,1017,13,268,5,1761386400,1761433200,true,true
2025-01-23T23:53:34Z,173.68,169.47948959642743328,13,80,6,0,997,7,86,33,1761386400,1761433200,true,false
2025-04-20T07:49:23Z,370.28,356.162565630754688324,33,99,9,0,1028,13,92,51,1761386400,1761433200,false,true
2025-01-29T18:45:07Z,100.12,109.1310581339204372,7,75,2,0,986,12,251,61,1761386400,1761433200,false,true
2025-10-02T11:31:52Z,234.18,227.344420601512485444,31,90,3,0,999,3,251,11,1761386400,1761433200,false,true
2025-09-03T15:21:32Z,76.86,70.78971709195180263,20,38,10,0,1001,8,195,54,1761386400,1761433200,false,true
2025-05-25T03:37:35Z,330.49,276.880660198584173375,33,47,4,0,1023,11,202,13,1761386400,1761433200,true,true
2025-02-17T19:33:02Z,217.09,225.62368345384828038,7,54,5,0,994,4,105,68,1761386400,1761433200,false,false
2025-01-30T02:01:40Z,298.68,287.014679134787296272,10,21,2,0,1014,11,300,73,1761386400,1761433200,false,false
2025-04-28T03:02:41Z,439.03,355.881025543748133617,30,62,6,0,983,7,295,46,1761386400,1761433200,true,true
2025-06-29T12:33:11Z,85.11,75.829638502927821387,20,99,4,0,1009,8,51,20,1761386400,1761433200,false,false
2025-05-07T06:49:01Z,115.33,111.490564721176677789,9,73,0,0,1016,15,45,8,1761386400,1761433200,true,false
2024-11-15T10:14:25Z,103.38,94.748603436187859028,23,100,3,0,1019,6,311,54,1761386400,1761433200,true,true
2025-05-22T22:47:34Z,287.34,290.18016035077995306,33,51,0,0,1025,15,128,83,1761386400,1761433200,true,true
2024-12-24T16:44:52Z,157.73,139.074963813708715087,27,60,6,0,1005,0,220,58,1761386400,1761433200,false,true
2025-04-05T09:26:35Z,198.2,167.85376364791273048,26,30,5,0,1009,9,26,87,1761386400,1761433200,false,false
2025-04-30T05:30:46Z,233.62,211.139143282806274078,32,25,2,0,1024,8,360,82,1761386400,1761433200,false,true
2025-10-14T21:18:46Z,89.32,83.410657956689269668,30,61,8,0,1022,13,246,50,1761386400,1761433200,true,false
2025-01-19T04:46:08Z,129.8,127.8127952693114886,7,85,1,0,992,3,163,81,1761386400,1761433200,true,false
2025-04-18T13:16:20Z,78.69,85.13102811226350378,34,75,2,0,1022,9,115,64,1761386400,1761433200,true,true
2025-08-19T09:22:07Z,112.74,102.02336456527104267,29,89,5,0,983,6,264,14,1761386400,1761433200,true,true
2025-09-05T05:08:17Z,247.4,220.21439503288993926,18,47,9,0,1000,4,119,35,1761386400,1761433200,true,true
2025-02-13T14:50:01Z,68.46,63.509805036840037722,24,49,8,0,993,11,171,26,1761386400,1761433200,true,false
2025-08-12T07:02:39Z,329.68,276.198748217814113952,14,49,7,0,1018,6,9,60,1761386400,1761433200,true,true
2024-11-29T11:48:12Z,318.08,264.107528025531886976,23,90,8,0,988,1,248,38,1761386400,1761433200,false,false
2024-11-25T16:45:57Z,474.27,413.157486725039111745,14,33,0,0,1017,8,126,59,1761386400,1761433200,true,true
2024-11-07T15:40:01Z,343.45,329.07917306604034611,12,83,7,0,1021,6,185,83,1761386400,1761433200,false,true
2025-10-14T15:09:07Z,266.65,236.11551247123590484,24,53,7,0,994,10,135,6,1761386400,1761433200,true,true
2025-10-16T07:23:18Z,430.85,345.564592308758663085,34,85,10,0,986,3,258,60,1761386400,1761433200,true,false
2025-09-08T18:47:40Z,99.42,105.35237029111249314,26,45,10,0,1023,10,10,59,1761386400,1761433200,false,true
2024-11-03T20:29:42Z,487.52,508.4690306731851112,17,36,4,0,986,13,33,93,1761386400,1761433200,false,false
2025-08-29T08:52:27Z,427.73,425.255134431251239373,19,26,7,0,1022,6,105,4,1761386400,1761433200,false,false
2024-12-28T23:50:59Z,109.59,95.872710036477593427,20,41,7,0,992,14,335,68,1761386400,1761433200,false,false
2025-05-08T12:12:42Z,489.84,475.18360428551867556,17,61,4,0,1003,1,297,46,1761386400,1761433200,false,true
2025-03-04T11:54:55Z,464.49,450.10160496001359945,15,80,0,0,1009,6,127,87,1761386400,1761433200,true,false
2025-08-20T17:22:07Z,424.02,449.78092756882842624,19,64,1,0,995,7,264,50,1761386400,1761433200,true,false
2024-11-19T18:00:04Z,185.8,204.2121190446652362,11,38,1,0,994,3,68,64,1761386400,1761433200,false,true
2024-12-05T00:13:12Z,421.37,379.420433594942698916,14,64,1,0,1015,15,206,99,1761386400,1761433200,false,true
2025-04-18T20:25:13Z,68.43,64.900491711891499908,26,27,1,0,1015,14,318,75,1761386400,1761433200,false,false
2024-11-15T01:13:04Z,129.98,123.185727728989399554,31,58,5,0,987,2,340,3,1761386400,1761433200,false,true
2025-04-08T12:51:31Z,405.85,365.542178880403102495,5,48,7,0,994,10,112,24,1761386400,1761433200,true,true
2025-01-28T13:47:09Z,480.25,422.009204108561494,24,89,3,0,986,8,274,5,1761386400,1761433200,false,true
2025-04-01T02:35:47Z,129.33,125.601485891370408846,29,33,10,0,1000,12,100,75,1761386400,1761433200,true,false
2025-01-01T21:05:52Z,420.04,387.921105946183772716,19,74,10,0,980,7,243,59,1761386400,1761433200,true,false
2025-09-07T00:12:05Z,385.96,316.578721817335224016,27,27,7,0,993,0,264,36,1761386400,1761433200,false,false
2024-11-30T12:50:54Z,291.76,311.52632026755687672,14,23,1,0,1030,6,265,50,1761386400,1761433200,true,true
2024-11-19T05:16:52Z,288.6,252.31771853022052266,26,72,9,0,1010,6,169,5,1761386400,1761433200,false,true
2024-11-09T07:44:08Z,280.79,253.099720993573730131,20,21,5,0,982,15,294,25,1761386400,1761433200,true,false
2025-03-20T05:31:09Z,450.21,437.212496821711017015,27,55,5,0,981,2,335,31,1761386400,1761433200,true,true
2025-03-21T21:02:42Z,95.41,77.298124098107158687,24,92,8,0,1001,14,232,77,1761386400,1761433200,false,false
2025-02-21T12:02:40Z,237.17,240.67584782460733865,13,29,0,0,1010,13,191,36,1761386400,1761433200,true,false
2025-05-09T17:55:36Z,79.29,71.764515960567073155,5,24,3,0,1004,1,7,53,1761386400,1761433200,false,true
2024-12-20T09:46:02Z,338.84,332.399257129320034472,30,20,5,0,1022,12,103,12,1761386400,1761433200,false,false
2025-06-30T19:53:56Z,277.88,266.178549034569299904,8,91,5,0,1010,1,220,16,1761386400,1761433200,true,true
2025-06-02T07:56:58Z,488.11,499.28009068856854684,35,80,6,0,988,10,1,99,1761386400,1761433200,false,false
2025-05-09T23:57:47Z,123.0,112.3263473986202163,17,96,7,0,1023,1,73,25,1761386400,1761433200,false,false
2025-05-31T11:31:44Z,258.16,233.95204200909312576,31,52,4,0,1016,7,56,69,1761386400,1761433200,true,true
2025-05-11T03:21:45Z,294.52,294.144332086501140464,24,29,7,0,1003,12,5,80,1761386400,1761433200,false,true
2025-04-18T23:28:40Z,478.27,411.623637540439275484,27,46,10,0,988,10,324,33,1761386400,1761433200,true,true
2025-08-10T19:33:36Z,338.52,279.390623612038030092,15,34,7,0,1028,7,123,49,1761386400,1761433200,true,true
2025-07-19T07:33:41Z,326.49,297.926154060887610078,19,93,3,0,1027,3,294,100,1761386400,1761433200,true,false
2025-03-03T23:08:21Z,330.73,277.953329140528788225,31,73,0,0,1022,15,356,15,1761386400,1761433200,false,false
2025-07-17T16:43:09Z,472.79,392.908258557753680719,16,27,0,0,1002,15,156,48,1761386400,1761433200,true,false
2025-05-13T17:12:20Z,310.58,268.077728885023528238,27,70,3,0,1028,12,92,39,1761386400,1761433200,true,true
2025-07-15T17:35:40Z,203.07,196.38587815487205054,35,71,0,0,980,7,319,98,1761386400,1761433200,false,false
2025-08-11T09:37:40Z,291.05,297.7721553529131884,15,39,1,0,1027,11,253,77,1761386400,1761433200,false,true
2025-08-24T07:43:55Z,128.04,127.023984558774976068,11,23,8,0,1008,12,78,84,1761386400,1761433200,false,true
2025-02-27T00:48:37Z,209.5,209.771200568887445,35,65,6,0,1025,14,203,71,1761386400,1761433200,false,true
2025-10-18T19:34:46Z,359.98,339.07296502863530439,7,49,10,0,984,11,2,76,1761386400,1761433200,false,false
2024-11-21T22:14:59Z,132.02,111.795988867233159174,17,40,1,0,1002,12,39,72,1761386400,1761433200,false,true
